brand,name,ym,km,trans,price
2, K7 프리미어 하이브리드 시그니처,2020,31036,1,3870
3, 더뉴아반떼AD 1.6,2019,78787,1,1399
6, SM6 2.0 LPe,2019,38468,1,1800
6, XM3 1.3 TCe 260 RE 시그니처,2020,23918,1,2160
3, 그랜저HG HG300 PREMIUM,2016,185543,1,1020
3, 아이오닉 Q,2019,43857,1,2300
2, K5 MX 2.0 LPI 럭셔리,2016,124312,1,1120
3, 더 뉴 그랜저 IG 3.3 캘리그래피,2020,8441,1,3800
1, G80 3.3 GDI,2016,51675,1,3279
2, 올뉴모닝(JA) LPI 럭셔리,2017,50286,1,970
1, G70 2.0T,2018,24636,1,3470
4, 올뉴말리부 2.0 터보 퍼펙트 블랙,2017,88528,1,1750
1, G80 3.3 GDI AWD,2019,112690,1,3050
3, 아반떼AD 1.6 GDI 스마트,2018,47456,1,1320
3, 소나타뉴라이즈 LPI 모던,2018,83543,1,1560
3, 아반떼AD 1.6 GDI 모던,2018,32851,1,1649
4, 올뉴말리부 2.0 터보 LT,2017,64343,1,1530
3, 소나타(DN8) 2.0 스마트,2019,69654,1,1690
6, SM6 2.0 GDe,2020,17318,1,2250
3, 그랜저HG HG220 MODERN,2016,114970,1,1350
3, 그랜저IG 3.0 GDI 익스클루시브,2018,41481,1,2770
3, 아반떼AD 1.6 GDI 스타일,2017,124908,1,960
1, G90 3.8 GDI AWD,2020,27564,1,8599
3, 아이오닉 Q,2017,30940,1,2200
3, 그랜저IG 2.2 VGT 프리미엄,2017,73220,1,2199
2, K5 MX 1.7 디젤 노블레스,2016,133563,1,1299
2, 더뉴레이 밴,2018,36338,1,939
6, SM6 2.0 LPe,2019,108437,1,1210
3, 소나타뉴라이즈 LPI 스타일,2017,74078,1,1150
3, 아반떼AD 1.6 T-GDI 스포츠,2017,38197,1,1150
2, K5 3세대 1.6 터보 프레스티지,2020,16407,1,2480
2, 더뉴레이 프레스티지,2020,18783,1,1390
3, 소나타(DN8) 2.0 프리미엄,2019,27252,1,2230
2, K5 SX 2.0 럭셔리,2016,103495,1,1260
1, G80 3.3 GDI,2017,47097,1,3470
4, 올뉴말리부 1.5 터보 LT,2017,60341,1,1580
2, 더뉴레이 럭셔리,2018,69405,1,1100
2, K5 MX 2.0 프레스티지,2016,96395,1,1450
4, 볼트EV EV LT 디럭스,2019,27709,1,2490
3, 아반떼AD 1.6 GDI 밸류 플러스,2018,109076,1,1080
2, 올뉴K7 2.4 GDI 프레스티지,2016,83609,1,1550
3, 그랜저IG 3.0 LPI 모던(렌터카),2017,107459,1,1699
3, 그랜저IG 2.4 GDI 모던,2017,111337,1,1869
6, SM6 2.0 GDe,2017,73926,1,1580
3, 3DH G330 프리미엄,2016,48971,1,2560
2, 올뉴K7 2.4 GDI 리미티드,2017,76953,1,2390
2, 더뉴레이 밴,2018,156335,1,699
6, SM6 2.0 LPe,2019,73263,1,1320
3, 벨로스터(JS) 2.0 N,2018,50692,0,1950
3, 그랜저IG 3.0 GDI 익스클루시브,2018,65062,1,2450
4, 말리부 LT,2016,140707,1,750
3, 그랜저 IG 하이브리드 익스클루시브 스페셜,2017,152183,1,2149
2, 올뉴모닝(JA) LPI 디럭스,2017,75300,1,640
